Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
Atmosphere/atmosphere;https://github.com/Atmosphere/atmosphere;Java;30/06/2010 14:26;10;3500;0;47554119;54337804;5769134;1452250;4.0;1.0;4.0;14.0
dromara/hmily;https://github.com/dromara/hmily;Java;28/09/2017 06:29;3;3497;0;47615172;54407167;5776992;1452790;4.0;1.0;2.0;11.0
aws/aws-sdk-java;https://github.com/aws/aws-sdk-java;Java;22/03/2010 23:34;10;3497;0;77550920;86160344;7548256;1560280;5.0;1.0;8.0;28.0
codeestX/GeekNews;https://github.com/codeestX/GeekNews;Java;07/08/2016 14:56;4;3497;0;77568351;86181358;7551589;1560590;2.0;1.0;2.0;11.0
getActivity/AndroidProject;https://github.com/getActivity/AndroidProject;Java;23/10/2018 10:30;2;3495;14;77600513;86218895;7556323;1560997;4.0;1.0;3.0;20.0
eirslett/frontend-maven-plugin;https://github.com/eirslett/frontend-maven-plugin;Java;30/08/2013 14:44;7;3494;0;77605912;86225638;7557432;1561281;3.0;1.0;4.5;23.0
theonedev/onedev;https://github.com/theonedev/onedev;Java;06/11/2018 02:57;2;3493;36;77916540;86592457;7612739;1564973;4.0;1.0;2.0;13.0
vespa-engine/vespa;https://github.com/vespa-engine/vespa;Java;03/06/2016 20:54;4;3492;0;80026131;89039057;7892998;1621745;4.0;1.0;5.0;23.0
awsdocs/aws-doc-sdk-examples;https://github.com/awsdocs/aws-doc-sdk-examples;Java;18/08/2016 19:06;4;3490;0;80441715;89554476;7956463;1645066;5.0;1.0;4.0;28.0
xcc3641/SeeWeather;https://github.com/xcc3641/SeeWeather;Java;20/02/2016 13:10;5;3488;2;80448799;89562966;7957607;1645364;3.0;1.0;3.0;17.0
openhab/openhab1-addons;https://github.com/openhab/openhab1-addons;Java;20/09/2013 20:28;7;3484;14;81243926;90466099;8058752;1661416;2.0;1.0;5.0;17.0
hussien89aa/AndroidTutorialForBeginners;https://github.com/hussien89aa/AndroidTutorialForBeginners;Java;26/09/2016 16:36;4;3482;0;81259850;90485913;8061842;1662411;4.0;1.0;3.0;15.0
ankidroid/Anki-Android;https://github.com/ankidroid/Anki-Android;Java;20/01/2013 13:55;8;3480;902;81670363;90926574;8090850;1666572;5.0;1.0;5.0;23.0
reactor/reactor-core;https://github.com/reactor/reactor-core;Java;10/11/2015 10:06;5;3471;90;81999426;91297640;8132380;1669252;5.0;1.0;5.0;25.0
apache/rocketmq-externals;https://github.com/apache/rocketmq-externals;Java;14/03/2017 07:00;4;3471;0;83553577;93015155;8274231;1680812;3.0;1.0;4.0;20.0
mercyblitz/tech-weekly;https://github.com/mercyblitz/tech-weekly;Java;03/12/2018 03:10;2;3471;0;83559729;93024749;8277018;1681496;1.5;1.0;1.0;9.0
coobird/thumbnailator;https://github.com/coobird/thumbnailator;Java;25/07/2015 05:38;5;3471;0;83598656;93069926;8283043;1682006;2.0;1.0;4.0;21.0
bisq-network/bisq;https://github.com/bisq-network/bisq;Java;12/03/2014 09:42;7;3458;103;83878338;93407262;8333164;1690215;4.0;1.0;3.0;17.0
microg/GmsCore;https://github.com/microg/GmsCore;Java;23/04/2014 19:28;6;3453;20;83958130;93500052;8345636;1691338;4.0;2.0;2.0;11.0
binIoter/GuideView;https://github.com/binIoter/GuideView;Java;19/06/2016 08:52;4;3446;0;83960966;93503577;8346099;1691595;2.0;1.0;2.0;13.0
powermock/powermock;https://github.com/powermock/powermock;Java;28/05/2014 07:53;6;3444;16;84023077;93577030;8357183;1692298;2.0;1.0;2.0;11.0
avast/android-butterknife-zelezny;https://github.com/avast/android-butterknife-zelezny;Java;23/12/2013 14:24;7;3433;8;84026279;93581051;8357766;1692556;3.0;1.0;3.0;17.0
JakeWharton/ThreeTenABP;https://github.com/JakeWharton/ThreeTenABP;Java;03/07/2015 17:35;5;3429;0;84027492;93582806;8358076;1692806;4.0;1.0;3.0;17.0
AntennaPod/AntennaPod;https://github.com/AntennaPod/AntennaPod;Java;31/07/2012 10:25;8;3429;34;84126361;93692846;8368959;1693254;5.0;1.0;6.0;26.5
bilibili/MagicaSakura;https://github.com/bilibili/MagicaSakura;Java;23/06/2016 07:54;4;3424;3;84135920;93704106;8370401;1693577;7.5;2.0;8.5;33.5
bytedeco/javacpp;https://github.com/bytedeco/javacpp;Java;21/04/2014 12:47;6;3421;6;84172986;93744044;8373012;1694509;4.0;2.0;22.0;74.0
dropbox/hackpad;https://github.com/dropbox/hackpad;Java;14/08/2015 02:32;5;3413;0;84639341;94275698;8433277;1701400;3.0;1.0;7.0;33.0
guolindev/giffun;https://github.com/guolindev/giffun;Java;28/01/2019 05:11;2;3406;0;84707206;94354253;8443677;1702249;3.0;1.0;4.0;15.5
