Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
oguzbilgener/CircularFloatingActionMenu;https://github.com/oguzbilgener/CircularFloatingActionMenu;Java;20/07/2014 20:42;6;2692;0;34646186;37731764;2754082;514341;6.0;1.0;5.0;28.0
TangoAgency/material-intro-screen;https://github.com/TangoAgency/material-intro-screen;Java;12/09/2016 13:16;4;2692;4;34652770;37739769;2755124;514783;3.0;1.0;2.0;8.0
fishercoder1534/Leetcode;https://github.com/fishercoder1534/Leetcode;Java;31/07/2016 05:28;4;2690;0;34729631;37828792;2766883;515263;1.0;1.0;3.0;22.0
react-native-share/react-native-share;https://github.com/react-native-share/react-native-share;Java;30/09/2015 02:27;5;2689;41;34755062;37860119;2770811;516221;3.0;2.0;5.0;20.0
jbloch/effective-java-3e-source-code;https://github.com/jbloch/effective-java-3e-source-code;Java;03/08/2018 20:48;2;2689;0;34759474;37865717;2771674;516548;1.0;1.0;2.0;12.5
JackyAndroid/AndroidTVLauncher;https://github.com/JackyAndroid/AndroidTVLauncher;Java;27/03/2016 08:59;4;2687;3;34761635;37868667;2772122;516918;4.0;1.0;2.5;21.5
JohnPersano/SuperToasts;https://github.com/JohnPersano/SuperToasts;Java;03/06/2013 00:56;7;2682;5;34768225;37876649;2773174;517311;3.0;1.0;3.0;13.0
lizhangqu/CoreLink;https://github.com/lizhangqu/CoreLink;Java;30/04/2015 08:47;5;2680;0;34768655;37877469;2773281;517599;nan;nan;nan;nan
apollographql/apollo-android;https://github.com/apollographql/apollo-android;Java;28/09/2016 14:03;4;2674;60;34968863;38101543;2792568;521869;3.0;1.0;2.0;8.0
yanzhenjie/AndServer;https://github.com/yanzhenjie/AndServer;Java;14/06/2016 00:52;4;2666;0;34992259;38128712;2796030;522413;3.0;1.0;6.0;23.0
harjot-oberai/MusicDNA;https://github.com/harjot-oberai/MusicDNA;Java;30/04/2016 20:12;4;2664;2;35090563;38239817;2808467;523185;3.0;1.0;5.0;21.0
glomadrian/Grav;https://github.com/glomadrian/Grav;Java;01/04/2017 09:16;3;2662;0;35093974;38244225;2809040;523651;4.0;1.0;3.0;14.0
JeremyLiao/LiveEventBus;https://github.com/JeremyLiao/LiveEventBus;Java;11/07/2018 07:36;2;2660;0;35101852;38253999;2810343;524286;2.0;1.0;1.0;5.0
Malinskiy/SuperRecyclerView;https://github.com/Malinskiy/SuperRecyclerView;Java;11/12/2014 03:20;6;2660;7;35105861;38259109;2811128;524613;2.0;1.0;1.0;7.0
AbrahamCaiJin/CommonUtilLibrary;https://github.com/AbrahamCaiJin/CommonUtilLibrary;Java;28/04/2017 06:06;3;2656;0;35106934;38260777;2811323;525029;3.0;1.0;8.0;44.0
pedrovgs/Algorithms;https://github.com/pedrovgs/Algorithms;Java;09/11/2014 14:32;6;2655;0;35118587;38274991;2813580;525337;3.0;1.0;7.0;30.0
qii/weiciyuan;https://github.com/qii/weiciyuan;Java;26/07/2012 14:23;8;2653;0;35193059;38363942;2827721;525957;4.0;1.0;3.0;20.0
googlesamples/google-services;https://github.com/googlesamples/google-services;Java;20/05/2015 22:45;5;2651;0;35203772;38376403;2828947;526515;3.0;1.5;2.0;13.5
flavioarfaria/KenBurnsView;https://github.com/flavioarfaria/KenBurnsView;Java;19/03/2014 03:10;6;2650;4;35206253;38379825;2829519;526912;4.0;2.0;5.0;31.0
cSploit/android;https://github.com/cSploit/android;Java;04/10/2014 05:53;6;2642;33;35237071;38416123;2834624;527489;2.0;1.0;3.0;14.0
Todd-Davies/ProgressWheel;https://github.com/Todd-Davies/ProgressWheel;Java;04/02/2012 18:13;9;2640;3;35238753;38418541;2835018;527841;4.0;1.0;3.5;22.5
zendesk/maxwell;https://github.com/zendesk/maxwell;Java;09/02/2015 22:06;6;2639;171;35264535;38451439;2840952;529047;4.0;1.0;5.0;26.0
SimonVT/android-menudrawer;https://github.com/SimonVT/android-menudrawer;Java;01/09/2012 13:34;8;2631;0;35272338;38461276;2842648;529456;4.0;1.0;3.0;18.5
chennaione/sugar;https://github.com/chennaione/sugar;Java;12/08/2011 13:44;9;2631;6;35281145;38472451;2844639;529889;2.0;1.0;3.0;13.0
beworker/pinned-section-listview;https://github.com/beworker/pinned-section-listview;Java;12/05/2013 13:22;7;2628;5;35282896;38474948;2845033;530255;2.5;1.0;5.0;21.0
tyzlmjj/PagerBottomTabStrip;https://github.com/tyzlmjj/PagerBottomTabStrip;Java;23/08/2015 02:35;5;2627;11;35285220;38478095;2845506;530621;5.0;1.0;3.0;17.0
amitshekhariitbhu/awesome-android-complete-reference;https://github.com/amitshekhariitbhu/awesome-android-complete-reference;Java;15/06/2016 02:13;4;2627;0;35285931;38479266;2845667;530931;3.0;1.0;4.0;17.0
google/hover;https://github.com/google/hover;Java;14/12/2015 02:43;5;2626;0;35295923;38491429;2847439;531364;3.0;1.0;2.5;12.0
KunMinX/Linkage-RecyclerView;https://github.com/KunMinX/Linkage-RecyclerView;Java;22/04/2019 04:39;1;2626;0;35301163;38497949;2848376;531734;4.0;1.0;3.0;27.0
sockeqwe/AdapterDelegates;https://github.com/sockeqwe/AdapterDelegates;Java;29/07/2015 11:19;5;2625;16;35308781;38507737;2849957;532341;3.0;1.0;2.0;8.5
liangfeidotme/MasteringAndroidDataBinding;https://github.com/liangfeidotme/MasteringAndroidDataBinding;Java;02/06/2015 16:36;5;2624;0;35311723;38511659;2850586;532705;4.0;2.0;2.0;15.0
