Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
Angel-ML/angel;https://github.com/Angel-ML/angel;Java;25/04/17 05:57:43;3;6161;18;96036063;108953399;11397163;2723443;5.0;1.0;8.0;34.0
vinc3m1/RoundedImageView;https://github.com/vinc3m1/RoundedImageView;Java;22/02/13 01:17:37;8;6144;19;96039001;108957084;11397675;2723692;9.0;2.0;3.0;35.0
ikew0ng/SwipeBackLayout;https://github.com/ikew0ng/SwipeBackLayout;Java;25/08/13 03:36:12;7;6098;0;96042466;108961340;11398259;2723993;3.0;1.0;8.0;25.0
GrenderG/Toasty;https://github.com/GrenderG/Toasty;Java;18/01/17 18:52:41;4;6092;18;96044107;108963574;11398590;2724276;3.0;1.0;1.0;5.5
rengwuxian/MaterialEditText;https://github.com/rengwuxian/MaterialEditText;Java;30/10/14 10:07:23;6;6086;19;96049534;108970145;11399499;2724553;2.0;1.0;4.0;16.0
macrozheng/mall-swarm;https://github.com/macrozheng/mall-swarm;Java;25/11/19 06:55:31;1;6066;1;96185030;109125838;11418459;2729435;3.0;1.0;11.0;29.5
rey5137/material;https://github.com/rey5137/material;Java;09/12/14 12:07:32;6;6065;10;96219117;109166642;11424918;2730322;3.0;1.0;4.0;15.0
google/physical-web;https://github.com/google/physical-web;Java;30/09/14 18:32:14;6;6054;17;96244106;109196171;11428626;2731225;3.0;1.0;3.0;14.5
pedrovgs/EffectiveAndroidUI;https://github.com/pedrovgs/EffectiveAndroidUI;Java;04/07/14 08:42:20;6;6045;0;96249521;109202705;11429504;2731480;3.0;1.0;3.0;11.0
uber/RIBs;https://github.com/uber/RIBs;Java;03/10/17 18:18:50;3;6035;3;96286318;109246280;11435800;2732007;3.0;1.0;2.0;8.0
gocd/gocd;https://github.com/gocd/gocd;Java;13/12/13 05:26:16;7;6006;67;97255862;110357826;11566761;2746417;5.0;1.0;4.0;20.0
markzhai/AndroidPerformanceMonitor;https://github.com/markzhai/AndroidPerformanceMonitor;Java;17/01/16 05:23:22;5;5968;0;97260711;110363851;11567619;2746753;3.0;1.0;4.0;19.5
guardianproject/haven;https://github.com/guardianproject/haven;Java;01/03/17 03:20:03;4;5964;36;97287333;110396321;11573136;2747629;4.0;1.0;5.0;24.0
antoniolg/androidmvp;https://github.com/antoniolg/androidmvp;Java;02/04/14 05:42:20;6;5942;0;97289067;110398647;11573471;2747901;2.0;1.0;4.0;16.0
Meituan-Dianping/walle;https://github.com/Meituan-Dianping/walle;Java;10/01/17 03:39:25;4;5921;1;97298989;110410177;11574767;2748277;2.0;1.0;4.0;21.0
singwhatiwanna/dynamic-load-apk;https://github.com/singwhatiwanna/dynamic-load-apk;Java;30/03/14 11:51:00;6;5908;0;97304791;110417531;11575857;2748768;3.0;1.0;2.0;13.0
daimajia/NumberProgressBar;https://github.com/daimajia/NumberProgressBar;Java;01/05/14 08:54:25;6;5889;3;97306317;110419701;11576225;2749078;0.5;1.0;1.0;7.5
zhoutaoo/SpringCloud;https://github.com/zhoutaoo/SpringCloud;Java;23/07/17 14:28:08;3;5884;0;97322296;110439024;11578678;2750698;5.0;1.0;1.0;8.0
wyouflf/xUtils3;https://github.com/wyouflf/xUtils3;Java;28/10/15 10:56:04;5;5879;9;97338012;110457885;11581548;2751026;3.0;1.0;6.5;23.0
lenve/VBlog;https://github.com/lenve/VBlog;Java;26/12/17 11:01:55;3;5874;0;97355724;110476461;11582144;2751359;4.0;1.0;5.0;16.0
google/closure-compiler;https://github.com/google/closure-compiler;Java;16/04/14 15:30:36;6;5870;0;98220460;111486466;11724239;2756513;5.0;1.0;6.0;22.5
checkstyle/checkstyle;https://github.com/checkstyle/checkstyle;Java;31/08/13 02:05:05;7;5867;100;98682478;111995584;11768513;2763190;0.0;1.0;1.0;5.0
aa112901/remusic;https://github.com/aa112901/remusic;Java;24/03/16 06:20:39;4;5851;0;98740276;112063128;11778002;2763816;3.0;1.0;3.0;17.0
smuyyh/BookReader;https://github.com/smuyyh/BookReader;Java;03/08/16 05:17:27;4;5845;0;98787451;112117485;11784903;2764267;2.0;1.0;2.0;13.0
KunMinX/Jetpack-MVVM-Best-Practice;https://github.com/KunMinX/Jetpack-MVVM-Best-Practice;Java;31/10/19 05:21:01;1;5839;0;98802561;112134944;11786992;2764574;3.0;1.0;3.0;14.0
