Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
lingochamp/okdownload;https://github.com/lingochamp/okdownload;Java;17/12/2017 08:21;3;4143;8;15817276;18017255;1904218;406955;4.0;1.0;5.0;21.5
pedrovgs/AndroidWiFiADB;https://github.com/pedrovgs/AndroidWiFiADB;Java;18/10/2015 21:58;5;4122;8;15819918;18020771;1904777;407278;2.0;1.0;2.0;15.5
raphw/byte-buddy;https://github.com/raphw/byte-buddy;Java;25/11/2013 19:38;7;4118;214;16063876;18300014;1939419;408750;4.0;1.0;3.0;13.0
grantland/android-autofittextview;https://github.com/grantland/android-autofittextview;Java;14/02/2011 06:00;10;4116;1;16065936;18302817;1939823;409116;4.0;1.0;3.0;15.0
confluentinc/ksql;https://github.com/confluentinc/ksql;Java;27/09/2016 21:30;4;4115;8;16513315;18792430;1979191;412736;5.0;1.0;5.0;23.0
auth0/java-jwt;https://github.com/auth0/java-jwt;Java;07/03/2014 15:06;7;4095;23;16525518;18807640;1981744;413276;4.0;1.0;8.5;32.5
Jasonchenlijian/FastBle;https://github.com/Jasonchenlijian/FastBle;Java;23/08/2016 02:06;4;4086;8;16530769;18814268;1982771;413649;2.0;1.0;2.0;8.0
Netflix/conductor;https://github.com/Netflix/conductor;Java;07/12/2016 22:48;4;3250;239;241163;276981;21988;2275;6.0;1.0;4.0;27.0
mybatis/spring-boot-starter;https://github.com/mybatis/spring-boot-starter;Java;25/09/2015 13:05;5;3250;20;253479;292102;24107;3017;4.0;1.0;2.0;8.0
abel533/MyBatis-Spring-Boot;https://github.com/abel533/MyBatis-Spring-Boot;Java;19/12/2015 09:57;5;3249;0;257415;296633;24410;3326;4.5;1.0;4.5;19.5
WVector/AppUpdate;https://github.com/WVector/AppUpdate;Java;19/06/2017 09:38;3;3245;3;259380;299440;24858;3736;3.0;1.0;3.0;13.0
iammert/ScalingLayout;https://github.com/iammert/ScalingLayout;Java;01/10/2017 12:28;3;3243;4;261322;302233;25311;4149;2.0;1.0;2.0;10.0
bluelinelabs/LoganSquare;https://github.com/bluelinelabs/LoganSquare;Java;17/02/2015 03:24;6;3239;0;271952;315360;27440;4538;3.0;1.0;2.5;15.0
tangqi92/Android-Tips;https://github.com/tangqi92/Android-Tips;Java;10/09/2015 09:01;5;3236;0;272430;316257;27573;4829;0.0;1.0;4.0;21.0
sherxon/AlgoDS;https://github.com/sherxon/AlgoDS;Java;16/12/2016 17:01;4;3227;0;300301;348631;31770;6646;1.0;1.0;8.0;25.0
TeamAmaze/AmazeFileManager;https://github.com/TeamAmaze/AmazeFileManager;Java;14/07/2014 19:47;6;3226;50;382833;441953;42087;7386;4.0;1.0;4.0;20.0
GitLqr/LQRWeChat;https://github.com/GitLqr/LQRWeChat;Java;07/02/2017 06:32;4;3226;0;390124;451132;43627;7754;2.0;1.0;4.0;20.0
linyiqun/DataMiningAlgorithm;https://github.com/linyiqun/DataMiningAlgorithm;Java;11/01/2015 02:50;6;3225;0;426644;490571;46243;8406;2.0;1.0;9.0;35.5
rubensousa/PreviewSeekBar;https://github.com/rubensousa/PreviewSeekBar;Java;24/01/2017 23:52;4;3223;7;430470;495625;47039;8862;2.0;1.0;3.0;11.0
rovo89/XposedInstaller;https://github.com/rovo89/XposedInstaller;Java;02/04/2012 20:33;8;3222;0;444606;512346;49300;9266;2.0;1.0;2.0;10.0
bauerca/drag-sort-listview;https://github.com/bauerca/drag-sort-listview;Java;01/06/2012 06:32;8;3218;0;451937;521428;50643;9773;2.0;1.0;2.0;12.0
